event_date,root_zone_name,total_events
2025-06-18,"Корпус №11",19
2025-06-18,"Корпус №16",3
2025-06-19,"Корпус № 4 Приемная комиссия",190
2025-06-19,"Корпус №10",486
2025-06-19,"Корпус №11",292
2025-06-19,"Корпус №13",10
2025-06-19,"Корпус №16",1381
2025-06-19,"Корпус №17",361
2025-06-19,"Корпус №4",1371
2025-06-19,"Корпус №5",1287
2025-06-20,"Корпус № 4 Приемная комиссия",252
2025-06-20,"Корпус №10",992
2025-06-20,"Корпус №11",2030
2025-06-20,"Корпус №13",87
2025-06-20,"Корпус №16",1057
2025-06-20,"Корпус №17",628
2025-06-20,"Корпус №4",983
2025-06-20,"Корпус №5",1758
2025-06-21,"Корпус № 4 Приемная комиссия",25
2025-06-21,"Корпус №10",743
2025-06-21,"Корпус №11",736
2025-06-21,"Корпус №13",20
2025-06-21,"Корпус №16",343
2025-06-21,"Корпус №17",69
2025-06-21,"Корпус №4",714
2025-06-21,"Корпус №5",779
2025-06-22,"Корпус № 4 Приемная комиссия",4
2025-06-22,"Корпус №11",80
2025-06-22,"Корпус №16",4
2025-06-22,"Корпус №17",42
2025-06-22,"Корпус №5",31
2025-06-23,"Корпус № 4 Приемная комиссия",96
2025-06-23,"Корпус №10",1282
2025-06-23,"Корпус №11",1680
2025-06-23,"Корпус №13",54
2025-06-23,"Корпус №16",1313
2025-06-23,"Корпус №17",318
2025-06-23,"Корпус №4",1673
2025-06-23,"Корпус №5",1555
2025-06-24,"Корпус № 4 Приемная комиссия",198
2025-06-24,"Корпус №10",1168
2025-06-24,"Корпус №11",1529
2025-06-24,"Корпус №13",44
2025-06-24,"Корпус №16",1600
2025-06-24,"Корпус №17",252
2025-06-24,"Корпус №4",2072
2025-06-24,"Корпус №5",2024
2025-06-25,"Корпус № 4 Приемная комиссия",326
2025-06-25,"Корпус №10",1148
2025-06-25,"Корпус №11",1775
2025-06-25,"Корпус №12",558
2025-06-25,"Корпус №13",51
2025-06-25,"Корпус №16",1418
2025-06-25,"Корпус №17",292
2025-06-25,"Корпус №3",109
2025-06-25,"Корпус №4",1887
2025-06-25,"Корпус №5",2278
2025-06-25,"Общежитие 1",1025
2025-06-26,"Корпус № 4 Приемная комиссия",102
2025-06-26,"Корпус №10",1220
2025-06-26,"Корпус №11",1419
2025-06-26,"Корпус №12",649
2025-06-26,"Корпус №13",42
2025-06-26,"Корпус №16",1220
2025-06-26,"Корпус №17",236
2025-06-26,"Корпус №3",297
2025-06-26,"Корпус №4",1613
2025-06-26,"Корпус №5",2449
2025-06-26,"Общежитие 1",867
2025-06-26,"Общежитие 3",612
2025-06-26,"Общежитие 5",1453
2025-06-27,"Корпус № 4 Приемная комиссия",159
2025-06-27,"Корпус №10",1786
2025-06-27,"Корпус №11",1871
2025-06-27,"Корпус №12",679
2025-06-27,"Корпус №13",34
2025-06-27,"Корпус №16",1745
2025-06-27,"Корпус №17",231
2025-06-27,"Корпус №3",540
2025-06-27,"Корпус №4",1985
2025-06-27,"Корпус №5",2170
2025-06-27,"Общежитие 1",824
2025-06-27,"Общежитие 3",861
2025-06-27,"Общежитие 4",11
2025-06-27,"Общежитие 5",1883
2025-06-28,"Корпус № 4 Приемная комиссия",69
2025-06-28,"Корпус №10",842
2025-06-28,"Корпус №11",794
2025-06-28,"Корпус №12",71
2025-06-28,"Корпус №13",18
2025-06-28,"Корпус №16",624
2025-06-28,"Корпус №17",41
2025-06-28,"Корпус №3",148
2025-06-28,"Корпус №4",919
2025-06-28,"Корпус №5",1418
2025-06-28,"Общежитие 1",697
2025-06-28,"Общежитие 3",685
2025-06-28,"Общежитие 4",7
2025-06-28,"Общежитие 5",1294
2025-06-29,"Корпус № 4 Приемная комиссия",2
2025-06-29,"Корпус №11",27
2025-06-29,"Корпус №17",14
2025-06-29,"Корпус №3",6
2025-06-29,"Корпус №5",61
2025-06-29,"Общежитие 1",682
2025-06-29,"Общежитие 3",663
2025-06-29,"Общежитие 4",12
2025-06-29,"Общежитие 5",1459
2025-06-30,"Корпус № 4 Приемная комиссия",106
2025-06-30,"Корпус №10",1578
2025-06-30,"Корпус №11",1538
2025-06-30,"Корпус №12",641
2025-06-30,"Корпус №13",9
2025-06-30,"Корпус №16",891
2025-06-30,"Корпус №17",268
2025-06-30,"Корпус №3",415
2025-06-30,"Корпус №4",957
2025-06-30,"Корпус №5",1350
2025-06-30,"Общежитие 1",745
2025-06-30,"Общежитие 3",813
2025-06-30,"Общежитие 4",2
2025-06-30,"Общежитие 5",1502
2025-07-01,"Корпус № 4 Приемная комиссия",141
2025-07-01,"Корпус №10",1704
2025-07-01,"Корпус №11",931
2025-07-01,"Корпус №12",588
2025-07-01,"Корпус №13",1
2025-07-01,"Корпус №16",1200
2025-07-01,"Корпус №17",288
2025-07-01,"Корпус №3",428
2025-07-01,"Корпус №4",1052
2025-07-01,"Корпус №5",1536
2025-07-01,"Общежитие 1",772
2025-07-01,"Общежитие 3",763
2025-07-01,"Общежитие 4",6
2025-07-01,"Общежитие 5",1291
2025-07-02,"Корпус № 4 Приемная комиссия",147
2025-07-02,"Корпус №10",1214
2025-07-02,"Корпус №11",964
2025-07-02,"Корпус №12",591
2025-07-02,"Корпус №16",861
2025-07-02,"Корпус №17",265
2025-07-02,"Корпус №3",236
2025-07-02,"Корпус №4",981
2025-07-02,"Корпус №5",1208
2025-07-02,"Общежитие 1",669
2025-07-02,"Общежитие 3",643
2025-07-02,"Общежитие 4",9
2025-07-02,"Общежитие 5",1181
2025-07-03,"Корпус № 4 Приемная комиссия",54
2025-07-03,"Корпус №10",913
2025-07-03,"Корпус №11",793
2025-07-03,"Корпус №12",607
2025-07-03,"Корпус №16",1140
2025-07-03,"Корпус №17",329
2025-07-03,"Корпус №3",240
2025-07-03,"Корпус №4",915
2025-07-03,"Корпус №5",1027
2025-07-03,"Общежитие 1",749
2025-07-03,"Общежитие 3",660
2025-07-03,"Общежитие 4",97
2025-07-03,"Общежитие 5",1171
2025-07-04,"Корпус № 4 Приемная комиссия",87
2025-07-04,"Корпус №10",1111
2025-07-04,"Корпус №11",814
2025-07-04,"Корпус №12",581
2025-07-04,"Корпус №16",871
2025-07-04,"Корпус №17",315
2025-07-04,"Корпус №3",371
2025-07-04,"Корпус №4",844
2025-07-04,"Корпус №5",791
2025-07-04,"Общежитие 1",679
2025-07-04,"Общежитие 3",645
2025-07-04,"Общежитие 4",472
2025-07-04,"Общежитие 5",920
2025-07-05,"Корпус № 4 Приемная комиссия",14
2025-07-05,"Корпус №10",449
2025-07-05,"Корпус №11",213
2025-07-05,"Корпус №12",51
2025-07-05,"Корпус №16",221
2025-07-05,"Корпус №17",39
2025-07-05,"Корпус №3",68
2025-07-05,"Корпус №4",273
2025-07-05,"Корпус №5",296
2025-07-05,"Общежитие 1",561
2025-07-05,"Общежитие 3",554
2025-07-05,"Общежитие 4",438
2025-07-05,"Общежитие 5",890
2025-07-06,"Корпус № 4 Приемная комиссия",3
2025-07-06,"Корпус №11",23
2025-07-06,"Корпус №17",35
2025-07-06,"Корпус №4",10
2025-07-06,"Корпус №5",19
2025-07-06,"Общежитие 1",573
2025-07-06,"Общежитие 3",641
2025-07-06,"Общежитие 4",409
2025-07-06,"Общежитие 5",873
2025-07-07,"Корпус № 4 Приемная комиссия",127
2025-07-07,"Корпус №10",726
2025-07-07,"Корпус №11",724
2025-07-07,"Корпус №12",678
2025-07-07,"Корпус №13",4
2025-07-07,"Корпус №16",769
2025-07-07,"Корпус №17",362
2025-07-07,"Корпус №3",166
2025-07-07,"Корпус №4",1152
2025-07-07,"Корпус №5",740
2025-07-07,"Общежитие 1",614
2025-07-07,"Общежитие 3",616
2025-07-07,"Общежитие 4",492
2025-07-07,"Общежитие 5",1153
2025-07-08,"Корпус № 4 Приемная комиссия",51
2025-07-08,"Корпус №10",779
2025-07-08,"Корпус №11",604
2025-07-08,"Корпус №12",561
2025-07-08,"Корпус №16",445
2025-07-08,"Корпус №17",381
2025-07-08,"Корпус №3",99
2025-07-08,"Корпус №4",824
2025-07-08,"Корпус №5",772
2025-07-08,"Общежитие 1",671
2025-07-08,"Общежитие 3",597
2025-07-08,"Общежитие 4",429
2025-07-08,"Общежитие 5",1003
2025-07-09,"Корпус № 4 Приемная комиссия",33
2025-07-09,"Корпус №10",608
2025-07-09,"Корпус №11",558
2025-07-09,"Корпус №12",554
2025-07-09,"Корпус №16",464
2025-07-09,"Корпус №17",362
2025-07-09,"Корпус №3",60
2025-07-09,"Корпус №4",672
2025-07-09,"Корпус №5",569
2025-07-09,"Общежитие 1",569
2025-07-09,"Общежитие 3",649
2025-07-09,"Общежитие 4",423
2025-07-09,"Общежитие 5",932
